"County","FullName","Party","No","Votes","VR"
"連江縣","連江縣南竿鄉","民主進步黨","1","237",0.0887
"連江縣","連江縣南竿鄉","親民黨","2","229",0.0857
"連江縣","連江縣南竿鄉","自由台灣黨","3","5",0.0018
"連江縣","連江縣南竿鄉","和平鴿聯盟黨","4","6",0.0022
"連江縣","連江縣南竿鄉","軍公教聯盟黨","5","36",0.0134
"連江縣","連江縣南竿鄉","民國黨","6","38",0.0142
"連江縣","連江縣南竿鄉","信心希望聯盟","7","50",0.0187
"連江縣","連江縣南竿鄉","中華統一促進黨","8","50",0.0187
"連江縣","連江縣南竿鄉","中國國民黨","9","1526",0.5715
"連江縣","連江縣南竿鄉","台灣團結聯盟","10","9",0.0033
"連江縣","連江縣南竿鄉","時代力量","11","70",0.0262
"連江縣","連江縣南竿鄉","大愛憲改聯盟","12","1",3e-04
"連江縣","連江縣南竿鄉","綠黨社會民主黨聯盟","13","70",0.0262
"連江縣","連江縣南竿鄉","台灣獨立黨","14","6",0.0022
"連江縣","連江縣南竿鄉","無黨團結聯盟","15","7",0.0026
"連江縣","連江縣南竿鄉","新黨","16","291",0.1089
"連江縣","連江縣南竿鄉","健保免費連線","17","5",0.0018
"連江縣","連江縣南竿鄉","樹黨","18","34",0.0127
"連江縣","連江縣北竿鄉","民主進步黨","1","69",0.088
"連江縣","連江縣北竿鄉","親民黨","2","69",0.088
"連江縣","連江縣北竿鄉","自由台灣黨","3","3",0.0038
"連江縣","連江縣北竿鄉","和平鴿聯盟黨","4","4",0.0051
"連江縣","連江縣北竿鄉","軍公教聯盟黨","5","10",0.0127
"連江縣","連江縣北竿鄉","民國黨","6","9",0.0114
"連江縣","連江縣北竿鄉","信心希望聯盟","7","6",0.0076
"連江縣","連江縣北竿鄉","中華統一促進黨","8","7",0.0089
"連江縣","連江縣北竿鄉","中國國民黨","9","435",0.5548
"連江縣","連江縣北竿鄉","台灣團結聯盟","10","4",0.0051
"連江縣","連江縣北竿鄉","時代力量","11","25",0.0318
"連江縣","連江縣北竿鄉","大愛憲改聯盟","12","2",0.0025
"連江縣","連江縣北竿鄉","綠黨社會民主黨聯盟","13","35",0.0446
"連江縣","連江縣北竿鄉","台灣獨立黨","14","1",0.0012
"連江縣","連江縣北竿鄉","無黨團結聯盟","15","1",0.0012
"連江縣","連江縣北竿鄉","新黨","16","93",0.1186
"連江縣","連江縣北竿鄉","健保免費連線","17","0",0
"連江縣","連江縣北竿鄉","樹黨","18","11",0.014
"連江縣","連江縣莒光鄉","民主進步黨","1","51",0.1038
"連江縣","連江縣莒光鄉","親民黨","2","57",0.116
"連江縣","連江縣莒光鄉","自由台灣黨","3","0",0
"連江縣","連江縣莒光鄉","和平鴿聯盟黨","4","0",0
"連江縣","連江縣莒光鄉","軍公教聯盟黨","5","4",0.0081
"連江縣","連江縣莒光鄉","民國黨","6","12",0.0244
"連江縣","連江縣莒光鄉","信心希望聯盟","7","1",0.002
"連江縣","連江縣莒光鄉","中華統一促進黨","8","6",0.0122
"連江縣","連江縣莒光鄉","中國國民黨","9","279",0.5682
"連江縣","連江縣莒光鄉","台灣團結聯盟","10","0",0
"連江縣","連江縣莒光鄉","時代力量","11","5",0.0101
"連江縣","連江縣莒光鄉","大愛憲改聯盟","12","0",0
"連江縣","連江縣莒光鄉","綠黨社會民主黨聯盟","13","15",0.0305
"連江縣","連江縣莒光鄉","台灣獨立黨","14","0",0
"連江縣","連江縣莒光鄉","無黨團結聯盟","15","1",0.002
"連江縣","連江縣莒光鄉","新黨","16","51",0.1038
"連江縣","連江縣莒光鄉","健保免費連線","17","1",0.002
"連江縣","連江縣莒光鄉","樹黨","18","8",0.0162
"連江縣","連江縣東引鄉","民主進步黨","1","38",0.0783
"連江縣","連江縣東引鄉","親民黨","2","58",0.1195
"連江縣","連江縣東引鄉","自由台灣黨","3","1",0.002
"連江縣","連江縣東引鄉","和平鴿聯盟黨","4","0",0
"連江縣","連江縣東引鄉","軍公教聯盟黨","5","16",0.0329
"連江縣","連江縣東引鄉","民國黨","6","5",0.0103
"連江縣","連江縣東引鄉","信心希望聯盟","7","6",0.0123
"連江縣","連江縣東引鄉","中華統一促進黨","8","1",0.002
"連江縣","連江縣東引鄉","中國國民黨","9","269",0.5546
"連江縣","連江縣東引鄉","台灣團結聯盟","10","2",0.0041
"連江縣","連江縣東引鄉","時代力量","11","13",0.0268
"連江縣","連江縣東引鄉","大愛憲改聯盟","12","2",0.0041
"連江縣","連江縣東引鄉","綠黨社會民主黨聯盟","13","11",0.0226
"連江縣","連江縣東引鄉","台灣獨立黨","14","2",0.0041
"連江縣","連江縣東引鄉","無黨團結聯盟","15","3",0.0061
"連江縣","連江縣東引鄉","新黨","16","49",0.101
"連江縣","連江縣東引鄉","健保免費連線","17","1",0.002
"連江縣","連江縣東引鄉","樹黨","18","8",0.0164
"金門縣","金門縣金城鎮","民主進步黨","1","1282",0.1099
"金門縣","金門縣金城鎮","親民黨","2","762",0.0653
"金門縣","金門縣金城鎮","自由台灣黨","3","21",0.0018
